Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient 
Query 1, 5, 50.0, -2.35
Query 2, 0, 0.0, 0.0
Query 3, 4, 40.0, -1.7000000000000002
Query 4, 4, 40.0, -3.5999999999999996
Query 5, 1, 10.0, 0.0
Query 6, 0, 0.0, 0.0
Query 7, 2, 20.0, -7.0
Query 8, 5, 50.0, 0.9
Query 9, 2, 20.0, -9.0
Query 10, 2, 20.0, -1.0
Query 11, 3, 30.0, -0.5
Query 12, 1, 10.0, 0.0
Query 13, 1, 10.0, 0.0
Query 14, 1, 10.0, 0.0
Query 15, 2, 20.0, -1.0
Query 16, 0, 0.0, 0.0
Query 17, 1, 10.0, 1.0
Query 18, 0, 0.0, 0.0
Query 19, 4, 40.0, -2.4
Query 20, 4, 40.0, -7.9
Query 21, 1, 10.0, 0.0
Query 22, 0, 0.0, 0.0
Query 23, 0, 0.0, 0.0
Query 24, 2, 20.0, -17.0
Query 25, 3, 30.0, 0.75
Query 26, 5, 50.0, -1.5
Query 27, 0, 0.0, 0.0
Query 28, 1, 10.0, 0.0
Query 29, 2, 20.0, -3.0
Query 30, 1, 10.0, 0.0
Query 31, 2, 20.0, -4.0
Query 32, 0, 0.0, 0.0
Query 33, 3, 30.0, -3.25
Query 34, 1, 10.0, 0.0
Query 35, 1, 10.0, 0.0
Query 36, 1, 10.0, 0.0
Query 37, 0, 0.0, 0.0
Query 38, 3, 30.0, -17.0
Query 39, 4, 40.0, -1.2999999999999998
Query 40, 1, 10.0, 0.0
Query 41, 5, 50.0, -5.7
Query 42, 6, 60.0, 0.2857142857142857
Query 43, 4, 40.0, -3.5
Query 44, 2, 20.0, -35.0
Query 45, 0, 0.0, 0.0
Query 46, 2, 20.0, -4.0
Query 47, 2, 20.0, -3.0
Query 48, 1, 10.0, 1.0
Query 49, 3, 30.0, -19.0
Query 50, 5, 50.0, -4.0
Query 51, 4, 40.0, 0.7
Query 52, 3, 30.0, -3.5
Query 53, 0, 0.0, 0.0
Query 54, 1, 10.0, 1.0
Query 55, 0, 0.0, 0.0
Query 56, 1, 10.0, 0.0
Query 57, 2, 20.0, -4.0
Query 58, 0, 0.0, 0.0
Query 59, 0, 0.0, 0.0
Query 60, 1, 10.0, 0.0
Query 61, 1, 10.0, 1.0
Query 62, 1, 10.0, 0.0
Query 63, 4, 40.0, -1.9
Query 64, 4, 40.0, 0.5
Query 65, 0, 0.0, 0.0
Query 66, 3, 30.0, -0.5
Query 67, 2, 20.0, -15.0
Query 68, 2, 20.0, -24.0
Query 69, 0, 0.0, 0.0
Query 70, 2, 20.0, -3.0
Query 71, 0, 0.0, 0.0
Query 72, 5, 50.0, 0.4
Query 73, 0, 0.0, 0.0
Query 74, 1, 10.0, 0.0
Query 75, 5, 50.0, 0.6
Query 76, 0, 0.0, 0.0
Query 77, 3, 30.0, -9.25
Query 78, 3, 30.0, -17.25
Query 79, 4, 40.0, -4.4
Query 80, 2, 20.0, -24.0
Query 81, 2, 20.0, -35.0
Query 82, 0, 0.0, 0.0
Query 83, 3, 30.0, -6.5
Query 84, 2, 20.0, 1.0
Query 85, 1, 10.0, 0.0
Query 86, 3, 30.0, -13.0
Query 87, 3, 30.0, -5.5
Query 88, 1, 10.0, 1.0
Query 89, 3, 30.0, -0.5
Query 90, 2, 20.0, -3.0
Query 91, 1, 10.0, 0.0
Query 92, 1, 10.0, 0.0
Query 93, 0, 0.0, 0.0
Query 94, 3, 30.0, -1.25
Query 95, 3, 30.0, -9.0
Query 96, 0, 0.0, 0.0
Query 97, 1, 10.0, 0.0
Query 98, 0, 0.0, 0.0
Query 99, 3, 30.0, -2.5
Query 100, 0, 0.0, 0.0
Averages, 1.89, 18.9, -3.3061428571428575
