time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2020-09-29T02:45:43Z,161,0,0,0,0,0,3161950,1029,16061,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,2,21,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,2,8,29360128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:46:43Z,161,0,0,0,0,0,5579828,1467,2433939,0,0,0,0,0,0,126067,0,0,0,0,0,0,0,107,5,0,24,1,5,50016,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,334,121009216,4,0,0,0,0,0,0,0,0,0,0,2,0,12,0,1008,0,72,0,2016,0,0,0,0,0,0,0,0,0,0,115516,0,10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:47:43Z,161,0,0,0,0,0,7763356,1467,4617467,0,0,0,0,0,0,123965,0,0,0,0,0,0,0,182,5,0,11,1,5,49165,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,197,79263648,3,0,0,0,0,0,0,0,0,0,0,3,0,14,0,950,0,38,0,1900,0,0,0,0,0,0,0,0,0,0,114256,0,9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:48:43Z,161,0,0,0,0,0,8695980,1467,5550091,0,0,0,0,0,0,111523,0,0,0,0,0,0,0,219,7,0,4,1,6,48670,0,0,0,0,0, ,0,0,0,0,0,0,30781,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,160,139318400,3,0,0,0,0,0,0,0,0,0,0,2,0,11,0,850,0,34,0,1700,0,0,0,0,0,0,0,0,0,0,107043,0,4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:49:43Z,161,0,0,0,0,0,9576500,1467,6430611,0,0,0,0,0,0,87420,0,0,0,0,0,0,0,248,7,0,-1,1,6,37563,0,0,0,0,0, ,0,0,0,0,0,0,85429,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,110,198333752,3,0,0,0,0,0,0,0,0,0,0,2,0,5,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,83516,0,3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:50:43Z,161,0,0,0,0,0,10279332,1467,7133443,0,0,0,0,0,0,96436,0,0,0,0,0,0,0,274,7,0,-7,1,6,42956,0,0,0,0,0, ,0,0,0,0,0,0,94715,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,106,215820920,4,0,0,0,0,0,0,0,0,0,0,1,0,6,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,93084,0,3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:51:43Z,161,0,0,0,0,0,10938828,1467,7792939,0,0,0,0,0,0,86880,0,0,0,0,0,0,0,297,7,0,-14,1,6,39979,0,0,0,0,0, ,0,0,0,0,0,0,85093,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,97,95156304,3,0,0,0,0,0,0,0,0,0,0,1,0,7,0,750,0,30,0,1500,0,0,0,0,0,0,0,0,0,0,83416,0,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:52:43Z,161,0,0,0,0,0,11678596,1467,8532707,0,0,0,0,0,0,95120,0,0,0,0,0,0,0,323,7,0,-18,1,6,41724,0,0,0,0,0, ,0,0,0,0,0,0,93232,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,94,223427248,4,0,0,0,0,0,0,0,0,0,0,2,0,5,0,750,0,30,0,1500,0,0,0,0,0,0,0,0,0,0,91437,0,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:53:43Z,161,0,0,0,0,0,12235188,1467,9089299,0,0,0,0,0,0,92138,0,0,0,0,0,0,0,353,7,0,-23,1,6,40355,0,0,0,0,0, ,0,0,0,0,0,0,90936,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,200280288,3,0,0,0,0,0,0,0,0,0,0,2,0,5,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,89323,0,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29T02:54:43Z,161,0,0,0,0,0,12514892,1467,9369003,0,0,0,0,0,0,90403,0,0,0,0,0,0,0,367,8,0,-28,1,6,39609,0,0,0,0,0, ,0,0,0,0,0,0,90309,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601347542661,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,117,249587392,3,0,0,0,0,0,0,0,0,0,0,3,0,5,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,88133,0,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
